days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
434,0.0,18524037.0,83692.42899999997,18525631.067999993,0.0,561838.0,2522.714,561838.1720000004,873950.0,24401670.0,21830267.0,873950.0,18339833.0,21830267.0,6061753.0,6061754.0,92.0,94.0,0.0006394336776140187,-0.149910641754671,5468.0,456.0,999.0,3019.0
435,684243.0,19208280.0,97748.99999999999,18623380.067999996,19627.0,581465.0,2803.857,564642.0290000006,870510.0,24547669.0,22700777.0,870510.0,18457011.0,22700777.0,6090574.0,6090575.0,92.0,94.0,0.0006400139259603111,-0.1472589068121156,5548.0,456.0,1008.0,3052.0
436,0.0,19208280.0,97748.99999999999,18721129.067999993,0.0,581465.0,2803.857,567445.8860000004,905187.0,25738678.0,23605964.0,905187.0,19202707.0,23605964.0,6535886.0,6535887.0,93.0,95.0,0.0006423349193454799,-0.1472589068121156,5576.0,456.0,990.0,3142.0
437,0.0,19208280.0,97748.99999999999,18818878.067999996,0.0,581465.0,2803.857,570249.7430000002,915635.0,26847943.0,24521599.0,915635.0,19897835.0,24521599.0,6950023.0,6950024.0,93.0,95.0,0.0006458164094232331,-0.1472589068121156,5622.0,456.0,1038.0,3091.0
438,0.0,19208280.0,97748.99999999999,18916627.067999996,0.0,581465.0,2803.857,573053.6000000004,908653.0,27919609.0,25430252.0,908653.0,20577454.0,25430252.0,7342070.0,7342071.0,94.0,96.0,0.0006481374028084021,-0.1472589068121156,5672.0,456.0,1074.0,3190.0
439,0.0,19208280.0,97748.99999999999,19014376.067999996,0.0,581465.0,2803.857,575857.4570000004,885039.0,28978900.0,26315291.0,885039.0,21274153.0,26315291.0,7704657.0,7704658.0,98.0,100.0,0.000651038644539863,-0.1472589068121156,5728.0,456.0,1049.0,3258.0
440,0.0,19208280.0,97748.99999999999,19112125.068,0.0,581465.0,2803.857,578661.3140000002,878901.0,30112177.0,27194192.0,878901.0,22106776.0,27194192.0,8005311.0,8005312.0,99.0,101.0,0.0006516188928861552,-0.1472589068121156,5781.0,456.0,1083.0,3321.0
441,0.0,19208280.0,97748.99999999999,19209874.067999993,0.0,581465.0,2803.857,581465.1710000003,877396.0,30558656.0,28071588.0,877396.0,22487060.0,28071588.0,8071506.0,8071507.0,99.0,101.0,0.0006551003829639086,-0.1472589068121156,5815.0,456.0,1106.0,3425.0
442,720933.0,19929213.0,102990.42900000002,19312864.496999994,22971.0,604436.0,3281.571,584746.7420000003,879354.0,30716901.0,28950942.0,879354.0,22619485.0,28950942.0,8097324.0,8097325.0,101.0,103.0,0.0006568411280027853,-0.14424393640478125,5817.0,456.0,1118.0,3502.0
443,0.0,19929213.0,102990.42900000002,19415854.926,0.0,604436.0,3281.571,588028.3130000003,862619.0,31791190.0,29813561.0,862619.0,23447756.0,29813561.0,8343341.0,8343342.0,104.0,106.0,0.0006556806313102008,-0.14424393640478125,5853.0,456.0,1148.0,3553.0
444,0.0,19929213.0,102990.42900000002,19518845.354999993,0.0,604436.0,3281.571,591309.8840000003,862246.0,32897319.0,30675807.0,862246.0,24336917.0,30675807.0,8560307.0,8560308.0,108.0,110.0,0.0006574213763490775,-0.14424393640478125,5956.0,456.0,1150.0,3694.0
445,0.0,19929213.0,102990.42900000002,19621835.784,0.0,604436.0,3281.571,594591.4550000003,875765.0,34063114.0,31551572.0,875765.0,25291798.0,31551572.0,8771221.0,8771222.0,108.0,110.0,0.0006591621213879541,-0.14424393640478125,5976.0,456.0,1145.0,3706.0
446,0.0,19929213.0,102990.42900000002,19724826.213,0.0,604436.0,3281.571,597873.0260000003,908211.0,35347009.0,32459783.0,908211.0,26330446.0,32459783.0,9016466.0,9016467.0,111.0,113.0,0.0006643843565045841,-0.14424393640478125,6055.0,456.0,1196.0,3798.0
447,0.0,19929213.0,102990.42900000002,19827816.642,0.0,604436.0,3281.571,601154.5970000001,959569.0,36820870.0,33419352.0,959569.0,27582767.0,33419352.0,9238006.0,9238007.0,111.0,113.0,0.0006696065916212139,-0.14424393640478125,6028.0,456.0,1213.0,3884.0
448,0.0,19929213.0,102990.42900000002,19930807.071000002,0.0,604436.0,3281.571,604436.1680000002,987305.0,37449468.0,34406657.0,987305.0,28138901.0,34406657.0,9310469.0,9310470.0,112.0,114.0,0.0006725078333526751,-0.14424393640478125,6074.0,456.0,1252.0,3864.0
449,804332.0,20733545.0,114904.572,20045711.643000003,24969.0,629405.0,3566.999,608003.1670000001,1019765.0,37823828.0,35426422.0,1019765.0,28470906.0,35426422.0,9352823.0,9352824.0,113.0,115.0,0.0006771498201230126,-0.1432638969478937,5906.0,456.0,1299.0,3952.0
450,0.0,20733545.0,114904.572,20160616.215,0.0,629405.0,3566.999,611570.1660000001,1094786.0,39409693.0,36521208.0,1094786.0,29740374.0,36521208.0,9669217.0,9669218.0,120.0,122.0,0.0006794708135081816,-0.1432638969478937,6283.0,456.0,1295.0,4000.0
