days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
25,0.0,133.0,12.572000000000001,132.292,0.0,3.0,0.286,3.003,-1.0,-1.0,-21.0,-1.0,-1.0,-21.0,-1.0,0.0,-3.0,0.0,1.255097699618938e-08,-5.9751701902622715e-06,1066.0,13045.0,321.0,4611.0
26,1879.0,2011.0,268.42800000000005,400.72,53.0,56.0,7.571,10.574,-1.0,-1.0,-22.0,-1.0,-1.0,-22.0,-1.0,0.0,-3.0,0.0,1.2577862344985214e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
27,0.0,2011.0,268.42800000000005,669.1480000000001,0.0,56.0,7.571,18.145,-1.0,-1.0,-23.0,-1.0,-1.0,-23.0,-1.0,0.0,-3.0,0.0,1.259877317182642e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
28,0.0,2011.0,268.42800000000005,937.576,0.0,56.0,7.571,25.716,-1.0,-1.0,-24.0,-1.0,-1.0,-24.0,-1.0,0.0,-3.0,0.0,1.2604747693781053e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
29,0.0,2011.0,268.42800000000005,1206.0040000000001,0.0,56.0,7.571,33.287,-1.0,-1.0,-25.0,-1.0,-1.0,-25.0,-1.0,0.0,-3.0,0.0,1.2488244515665763e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
30,0.0,2011.0,268.42800000000005,1474.4320000000002,0.0,56.0,7.571,40.858,-1.0,-1.0,-26.0,-1.0,-1.0,-26.0,-1.0,0.0,-3.0,0.0,1.2416550252210203e-08,-5.9782142091981566e-06,1066.0,13045.0,321.0,4611.0
31,0.0,2011.0,268.42800000000005,1742.86,0.0,56.0,7.571,48.429,-1.0,-1.0,-27.0,-1.0,-1.0,-27.0,-1.0,0.0,-3.0,0.0,1.2347843249731952e-08,-5.969383865749213e-06,1066.0,13045.0,321.0,4611.0
32,0.0,2011.0,268.42800000000005,2011.288,0.0,56.0,7.571,55.99999999999999,-1.0,-1.0,-28.0,-1.0,-1.0,-28.0,-1.0,0.0,-3.0,0.0,1.2306021596049542e-08,-5.969383865749213e-06,1066.0,13045.0,321.0,4611.0
33,12504.0,14515.0,1786.2839999999997,3797.572,306.0,362.0,43.714,99.714,-1.0,-1.0,-29.0,-1.0,-1.0,-29.0,-1.0,0.0,-3.0,0.0,1.2279136247253707e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
34,0.0,14515.0,1786.2839999999997,5583.855999999999,0.0,362.0,43.714,143.428,-1.0,-1.0,-30.0,-1.0,-1.0,-30.0,-1.0,0.0,-3.0,0.0,1.2204454722820828e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
35,0.0,14515.0,1786.2839999999997,7370.140000000001,0.0,362.0,43.714,187.142,-1.0,-1.0,-31.0,-1.0,-1.0,-31.0,-1.0,0.0,-3.0,0.0,1.2132760459365267e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
36,0.0,14515.0,1786.2839999999997,9156.424,0.0,362.0,43.714,230.856,-1.0,-1.0,-32.0,-1.0,-1.0,-32.0,-1.0,0.0,-3.0,0.0,1.2090938805682854e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
37,0.0,14515.0,1786.2839999999997,10942.708,0.0,362.0,43.714,274.57,-1.0,-1.0,-33.0,-1.0,-1.0,-33.0,-1.0,0.0,-3.0,0.0,1.2022231803204606e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
38,0.0,14515.0,1786.2839999999997,12728.992,0.0,362.0,43.714,318.28400000000005,-1.0,-1.0,-34.0,-1.0,-1.0,-34.0,-1.0,0.0,-3.0,0.0,1.1983397410499512e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
39,0.0,14515.0,1786.2839999999997,14515.276,0.0,362.0,43.714,361.99800000000005,-1.0,-1.0,-35.0,-1.0,-1.0,-35.0,-1.0,0.0,-3.0,0.0,1.194755027877173e-08,-5.969808056807992e-06,1066.0,13045.0,321.0,4611.0
40,22914.0,37429.0,3273.429,17788.704999999998,544.0,906.0,77.714,439.71200000000005,-1.0,-1.0,-36.0,-1.0,-1.0,-36.0,-1.0,0.0,-3.0,0.0,1.1923652190953208e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
41,0.0,37429.0,3273.429,21062.134,0.0,906.0,77.714,517.426,-1.0,-1.0,-37.0,-1.0,-1.0,-37.0,-1.0,0.0,-3.0,0.0,1.1920664929975894e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
42,0.0,37429.0,3273.429,24335.563,0.0,906.0,77.714,595.1400000000001,-1.0,-1.0,-38.0,-1.0,-1.0,-38.0,-1.0,0.0,-3.0,0.0,1.1926639451930524e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
43,0.0,37429.0,3273.429,27608.992,0.0,906.0,77.714,672.854,-1.0,-1.0,-39.0,-1.0,-1.0,-39.0,-1.0,0.0,-3.0,0.0,1.1977422888544881e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
44,0.0,37429.0,3273.429,30882.421,0.0,906.0,77.714,750.568,-1.0,-1.0,-40.0,-1.0,-1.0,-40.0,-1.0,0.0,-3.0,0.0,1.2049117152000445e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
45,0.0,37429.0,3273.429,34155.85,0.0,906.0,77.714,828.2819999999999,-1.0,-1.0,-41.0,-1.0,-1.0,-41.0,-1.0,0.0,-3.0,0.0,1.195949932268099e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
46,0.0,37429.0,3273.429,37429.279,0.0,906.0,77.714,905.996,-1.0,-1.0,-42.0,-1.0,-1.0,-42.0,-1.0,0.0,-3.0,0.0,1.1863906971406909e-08,-5.967182254408931e-06,1066.0,13045.0,321.0,4611.0
47,31423.0,68852.0,4489.001,41918.27999999999,863.0,1769.0,123.286,1029.282,-1.0,-1.0,-43.0,-1.0,-1.0,-43.0,-1.0,0.0,-3.0,0.0,1.1789225446974031e-08,-5.968356247973017e-06,1066.0,13045.0,321.0,4611.0
48,0.0,68852.0,4489.001,46407.281,0.0,1769.0,123.286,1152.568,-1.0,-1.0,-44.0,-1.0,-1.0,-44.0,-1.0,0.0,-3.0,0.0,1.1738442010359675e-08,-5.968356247973017e-06,1066.0,13045.0,321.0,4611.0
49,0.0,68852.0,4489.001,50896.281999999985,0.0,1769.0,123.286,1275.854,-1.0,-1.0,-45.0,-1.0,-1.0,-45.0,-1.0,0.0,-3.0,0.0,1.1693633095699947e-08,-5.968356247973017e-06,1066.0,13045.0,321.0,4611.0
50,0.0,68852.0,4489.001,55385.28299999998,0.0,1769.0,123.286,1399.1399999999999,-1.0,-1.0,-46.0,-1.0,-1.0,-46.0,-1.0,0.0,-3.0,0.0,1.1663760485926798e-08,-5.968356247973017e-06,1066.0,13045.0,321.0,4611.0
