days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-66.0,-3.0,-3.0,-66.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-69.0,-3.0,-3.0,-69.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-72.0,-3.0,-3.0,-72.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-75.0,-3.0,-3.0,-75.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-78.0,-3.0,-3.0,-78.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6701770062850058,565.0,4898.0,-57.0,2503.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-81.0,-3.0,-3.0,-81.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6703487394359171,565.0,4898.0,-57.0,2503.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-84.0,-3.0,-3.0,-84.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6703487394359171,565.0,4898.0,-57.0,2503.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-87.0,-3.0,-3.0,-87.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-90.0,-3.0,-3.0,-90.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-93.0,-3.0,-3.0,-93.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-96.0,-3.0,-3.0,-96.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-99.0,-3.0,-3.0,-99.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-102.0,-3.0,-3.0,-102.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-105.0,-3.0,-3.0,-105.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6706735359927032,565.0,4898.0,-57.0,2503.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-108.0,-3.0,-3.0,-108.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-111.0,-3.0,-3.0,-111.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-114.0,-3.0,-3.0,-114.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-117.0,-3.0,-3.0,-117.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-120.0,-3.0,-3.0,-120.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-123.0,-3.0,-3.0,-123.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-126.0,-3.0,-3.0,-126.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6687414311570966,565.0,4898.0,-57.0,2503.0
43,1.0,1.0,0.143,0.143,0.0,0.0,0.0,0.0,-3.0,-3.0,-129.0,-3.0,-3.0,-129.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
44,0.0,1.0,0.143,0.286,0.0,0.0,0.0,0.0,-3.0,-3.0,-132.0,-3.0,-3.0,-132.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
45,0.0,1.0,0.143,0.4289999999999999,0.0,0.0,0.0,0.0,-3.0,-3.0,-135.0,-3.0,-3.0,-135.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
46,0.0,1.0,0.143,0.572,0.0,0.0,0.0,0.0,-3.0,-3.0,-138.0,-3.0,-3.0,-138.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
47,0.0,1.0,0.143,0.715,0.0,0.0,0.0,0.0,-3.0,-3.0,-141.0,-3.0,-3.0,-141.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
48,0.0,1.0,0.143,0.858,0.0,0.0,0.0,0.0,-3.0,-3.0,-144.0,-3.0,-3.0,-144.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
49,0.0,1.0,0.143,1.001,0.0,0.0,0.0,0.0,-3.0,-3.0,-147.0,-3.0,-3.0,-147.0,-3.0,0.0,-13.0,0.0,0.0005662918465945528,-0.6700853677654737,565.0,4898.0,-57.0,2503.0
