days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-108.0,-6.0,-6.0,-108.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-114.0,-6.0,-6.0,-114.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-120.0,-6.0,-6.0,-120.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,-126.0,-6.0,-6.0,-126.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429731925264013,25.0,977.0,-24.0,-24.0
26,4.0,4.0,0.571,0.571,0.0,0.0,0.0,0.0,-6.0,-6.0,-132.0,-6.0,-6.0,-132.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
27,0.0,4.0,0.571,1.142,0.0,0.0,0.0,0.0,-6.0,-6.0,-138.0,-6.0,-6.0,-138.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
28,0.0,4.0,0.571,1.713,0.0,0.0,0.0,0.0,-6.0,-6.0,-144.0,-6.0,-6.0,-144.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
29,0.0,4.0,0.571,2.284,0.0,0.0,0.0,0.0,-6.0,-6.0,-150.0,-6.0,-6.0,-150.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
30,0.0,4.0,0.571,2.8549999999999995,0.0,0.0,0.0,0.0,-6.0,-6.0,-156.0,-6.0,-6.0,-156.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6430899675060926,25.0,977.0,-24.0,-24.0
31,0.0,4.0,0.571,3.4259999999999997,0.0,0.0,0.0,0.0,-6.0,-6.0,-162.0,-6.0,-6.0,-162.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437896019496344,25.0,977.0,-24.0,-24.0
32,0.0,4.0,0.571,3.996999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-168.0,-6.0,-6.0,-168.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437896019496344,25.0,977.0,-24.0,-24.0
33,8.0,12.0,1.143,5.139999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-174.0,-6.0,-6.0,-174.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
34,0.0,12.0,1.143,6.282999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-180.0,-6.0,-6.0,-180.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
35,0.0,12.0,1.143,7.425999999999998,0.0,0.0,0.0,0.0,-6.0,-6.0,-186.0,-6.0,-6.0,-186.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
36,0.0,12.0,1.143,8.568999999999999,0.0,0.0,0.0,0.0,-6.0,-6.0,-192.0,-6.0,-6.0,-192.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
37,0.0,12.0,1.143,9.712,0.0,0.0,0.0,0.0,-6.0,-6.0,-198.0,-6.0,-6.0,-198.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
38,0.0,12.0,1.143,10.855,0.0,0.0,0.0,0.0,-6.0,-6.0,-204.0,-6.0,-6.0,-204.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
39,0.0,12.0,1.143,11.998,0.0,0.0,0.0,0.0,-6.0,-6.0,-210.0,-6.0,-6.0,-210.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6437726780395342,25.0,977.0,-24.0,-24.0
40,3.0,15.0,0.429,12.427,0.0,0.0,0.0,0.0,-6.0,-6.0,-216.0,-6.0,-6.0,-216.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
41,0.0,15.0,0.429,12.856000000000002,0.0,0.0,0.0,0.0,-6.0,-6.0,-222.0,-6.0,-6.0,-222.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
42,0.0,15.0,0.429,13.285000000000002,0.0,0.0,0.0,0.0,-6.0,-6.0,-228.0,-6.0,-6.0,-228.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
43,0.0,15.0,0.429,13.714000000000002,0.0,0.0,0.0,0.0,-6.0,-6.0,-234.0,-6.0,-6.0,-234.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
44,0.0,15.0,0.429,14.143000000000002,0.0,0.0,0.0,0.0,-6.0,-6.0,-240.0,-6.0,-6.0,-240.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
45,0.0,15.0,0.429,14.572000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-246.0,-6.0,-6.0,-246.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
46,0.0,15.0,0.429,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-252.0,-6.0,-6.0,-252.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6439243162740319,25.0,977.0,-24.0,-24.0
47,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-258.0,-6.0,-6.0,-258.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
48,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-264.0,-6.0,-6.0,-264.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
49,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-270.0,-6.0,-6.0,-270.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
50,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-276.0,-6.0,-6.0,-276.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
51,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-282.0,-6.0,-6.0,-282.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
52,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-288.0,-6.0,-6.0,-288.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
53,0.0,15.0,0.0,15.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-294.0,-6.0,-6.0,-294.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6435255889520715,25.0,977.0,-24.0,-24.0
54,7.0,22.0,1.0,16.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-300.0,-6.0,-6.0,-300.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6436322095857028,25.0,977.0,-24.0,-24.0
55,0.0,22.0,1.0,17.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-306.0,-6.0,-6.0,-306.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6436322095857028,25.0,977.0,-24.0,-24.0
56,0.0,22.0,1.0,18.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-312.0,-6.0,-6.0,-312.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6436322095857028,25.0,977.0,-24.0,-24.0
57,0.0,22.0,1.0,19.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-318.0,-6.0,-6.0,-318.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6436322095857028,25.0,977.0,-24.0,-24.0
58,0.0,22.0,1.0,20.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-324.0,-6.0,-6.0,-324.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6436322095857028,25.0,977.0,-24.0,-24.0
59,0.0,22.0,1.0,21.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-330.0,-6.0,-6.0,-330.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6436322095857028,25.0,977.0,-24.0,-24.0
60,0.0,22.0,1.0,22.001000000000005,0.0,0.0,0.0,0.0,-6.0,-6.0,-336.0,-6.0,-6.0,-336.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6427768751692391,25.0,977.0,-24.0,-24.0
61,4.0,26.0,0.572,22.573000000000004,0.0,0.0,0.0,0.0,-6.0,-6.0,-342.0,-6.0,-6.0,-342.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
62,0.0,26.0,0.572,23.145000000000003,0.0,0.0,0.0,0.0,-6.0,-6.0,-348.0,-6.0,-6.0,-348.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
63,0.0,26.0,0.572,23.717,0.0,0.0,0.0,0.0,-6.0,-6.0,-354.0,-6.0,-6.0,-354.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
64,0.0,26.0,0.572,24.288999999999998,0.0,0.0,0.0,0.0,-6.0,-6.0,-360.0,-6.0,-6.0,-360.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
65,0.0,26.0,0.572,24.861,0.0,0.0,0.0,0.0,-6.0,-6.0,-366.0,-6.0,-6.0,-366.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
66,0.0,26.0,0.572,25.433,0.0,0.0,0.0,0.0,-6.0,-6.0,-372.0,-6.0,-6.0,-372.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
67,0.0,26.0,0.572,26.004999999999995,0.0,0.0,0.0,0.0,-6.0,-6.0,-378.0,-6.0,-6.0,-378.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429031275385865,25.0,977.0,-24.0,-24.0
68,49.0,75.0,7.0,33.004999999999995,4.0,4.0,0.571,0.571,-6.0,-6.0,-384.0,-6.0,-6.0,-384.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429738694828053,25.0,977.0,-24.0,-24.0
69,0.0,75.0,7.0,40.005,0.0,4.0,0.571,1.142,-6.0,-6.0,-390.0,-6.0,-6.0,-390.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429738694828053,25.0,977.0,-24.0,-24.0
70,0.0,75.0,7.0,47.004999999999995,0.0,4.0,0.571,1.713,-6.0,-6.0,-396.0,-6.0,-6.0,-396.0,-6.0,0.0,-6.0,0.0,-0.00011474411047928514,-0.6429738694828053,25.0,977.0,-24.0,-24.0
