days_passed,new_cases,total_cases,new_cases_smoothed,total_cases_smoothed,new_deaths,total_deaths,new_deaths_smoothed,total_deaths_smoothed,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_smooth,new_people_vaccinated_smoothed,total_people_vaccinated,total_people_vaccinated_smooth,people_fully_vaccinated,people_fully_vaccinated_smooth,total_boosters,total_boosters_smooth,reproduction_rate,stringency_index,excess_mortality,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions
770,0.0,14154.0,18.714,14079.165000000005,0.0,111.0,0.143,110.44800000000004,8540.0,698869.0,694361.0,8540.0,619646.0,694361.0,594847.0,614447.0,0.0,0.0,0.45,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
771,0.0,14154.0,18.714,14097.879000000004,0.0,111.0,0.143,110.59100000000004,8916.0,698869.0,703277.0,8916.0,619646.0,703277.0,594847.0,624247.0,0.0,0.0,0.45,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
772,0.0,14154.0,18.714,14116.593000000004,0.0,111.0,0.143,110.73400000000004,9292.0,698869.0,712569.0,9292.0,619646.0,712569.0,594847.0,634047.0,0.0,0.0,0.44,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
773,0.0,14154.0,18.714,14135.307000000004,0.0,111.0,0.143,110.87700000000004,9668.0,698869.0,722237.0,9668.0,619646.0,722237.0,594847.0,643847.0,0.0,0.0,0.43,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
774,0.0,14154.0,18.714,14154.021000000004,0.0,111.0,0.143,111.02000000000004,10043.0,698869.0,732280.0,10043.0,619646.0,732280.0,594847.0,653647.0,0.0,0.0,0.41,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
775,53.0,14207.0,7.571,14161.592000000004,2.0,113.0,0.286,111.30600000000004,10419.0,698869.0,742699.0,10419.0,619646.0,742699.0,594847.0,663447.0,0.0,0.0,0.39,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
776,0.0,14207.0,7.571,14169.163000000004,0.0,113.0,0.286,111.59200000000006,10419.0,698869.0,753118.0,10419.0,619646.0,753118.0,594847.0,673247.0,0.0,0.0,0.38,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
777,0.0,14207.0,7.571,14176.734000000004,0.0,113.0,0.286,111.87800000000006,10419.0,698869.0,763537.0,10419.0,619646.0,763537.0,594847.0,683047.0,0.0,0.0,0.36,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
778,0.0,14207.0,7.571,14184.305000000004,0.0,113.0,0.286,112.16400000000006,10419.0,698869.0,773956.0,10419.0,619646.0,773956.0,594847.0,692847.0,0.0,0.0,0.34,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
779,0.0,14207.0,7.571,14191.876000000004,0.0,113.0,0.286,112.45000000000006,10419.0,698869.0,784375.0,10419.0,619646.0,784375.0,594847.0,702647.0,0.0,0.0,0.32,18.52,-1000.0,-1.0,-1.0,-1.0,-1.0
